Tahun Rilis,Rank,Nama Game,Diskon,Harga,Rating,Tanggal Rilis,Followers,Online Saat Ini,Peak Pemain
2020,588.,Stormworks: Build and Rescue,0%,Rp 206999,88.54%,17 Sep,"89,309","1,290","6,820"
2020,611.,DOOM Eternal,0%,Rp 329999,90.14%,20 Mar,"255,315","1,357","104,891"
2020,613.,Ghostrunner,-75%,Rp 86250,89.90%,27 Oct,"135,821",189,"11,294"
2020,648.,Action Taimanin,0%,Free,81.40%,06 Oct,"66,273",977,"3,521"
2020,661.,The Sims™ 4 Snowy Escape Expansion Pack,-60%,Rp 191600,58.66%,13 Nov,—,—,—
2020,677.,RimWorld - Royalty,0%,Rp 165999,80.34%,24 Feb,—,—,—
2020,679.,Hydroneer,-60%,Rp 52399,84.83%,08 May,"55,496",561,"8,996"
2020,682.,Expansion - Hearts of Iron IV: La Résistance,-50%,Rp 107499,42.19%,25 Feb,—,—,—
2020,697.,The Survivalists,-90%,Rp 19999,74.99%,09 Oct,"69,831",311,"3,563"
2020,704.,Kingdoms of Amalur: Re-Reckoning,-75%,Rp 84197,74.81%,08 Sep,"40,725",191,"6,390"
2020,709.,ROMANCE OF THE THREE KINGDOMS XIV,-40%,Rp 506400,61.71%,16 Jan,"68,042","1,222","16,482"
2020,723.,Noita,0%,Rp 108999,93.74%,15 Oct,"176,136","2,461","9,256"
2020,729.,Age of Empires III: Definitive Edition,0%,Free,83.39%,15 Oct,"101,614","3,272","20,146"
2020,742.,Automobilista 2,0%,Rp 169999,89.48%,31 Mar,"37,577",507,"3,896"
2020,753.,Wobbly Life,-30%,Rp 118999,94.85%,08 Jul,"32,853",541,"4,665"
2020,755.,Shop Titans,0%,Free,76.73%,05 May,"20,529","3,328","7,990"
2020,757.,The Sims™ 4 Eco Lifestyle,-60%,Rp 191600,51.04%,04 Jun,—,—,—
2020,769.,Crosshair X,0%,Rp 79999,91.45%,01 Jun,"20,533","38,783","89,033"
2020,779.,Half-Life: Alyx,0%,Rp 449999,96.76%,23 Mar,"249,292",197,"42,858"
2020,780.,Angel Legion,0%,Free,82.86%,14 Aug,"36,333",565,"1,315"
2020,812.,Dead By Daylight - Silent Hill Chapter,-50%,Rp 43945,79.92%,16 Jun,—,—,—
2020,833.,Easy Red 2,0%,Rp 79990,87.79%,10 Nov,"42,916",340,"12,026"
2020,898.,Desperados III,-75%,Rp 74999,94.07%,16 Jun,"79,440",109,"6,057"
2020,901.,HARD BULLET,-30%,Rp 116199,82.45%,22 Oct,"11,560",67,274
2020,902.,Need for Speed™ Hot Pursuit Remastered,-80%,Rp 75800,78.90%,06 Nov,"24,070",189,"1,228"
2020,904.,Phantasy Star Online 2 New Genesis,0%,Free,69.06%,05 Aug,"82,306","1,199","59,558"
2020,907.,OMORI,0%,Rp 108999,95.65%,25 Dec,"98,939",477,"3,166"
2020,941.,Trials of Mana,-60%,Rp 251600,88.58%,24 Apr,"47,812",53,"11,998"
2020,948.,State of Decay 2: Juggernaut Edition,0%,Rp 239000,81.75%,13 Mar,"139,833","1,358","22,728"
2020,983.,Suzerain,-70%,Rp 50700,90.65%,04 Dec,"21,512",255,"3,382"
